Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs
haircare,SKU000,8.49,100,80,679.2,Mixed,13,1,10,1,Carrier A,3.35,Supplier A,Mumbai,1,200,1,29.6,Pass,0.07,Road,Route A,34.48
skincare,SKU001,11.15,99,117,1304.55,Mixed,24,8,23,6,Carrier B,7.07,Supplier D,Bangalore,9,223,5,28.04,Pending,2.21,Rail,Route C,37.12
cosmetics,SKU002,12.76,98,154,1965.04,Mixed,35,15,36,11,Carrier C,17.13,Supplier B,Kolkata,17,246,9,28.89,Fail,3.49,Air,Route B,48.32
fragrance,SKU003,15.69,97,191,2996.79,Mixed,46,22,49,4,Carrier A,6.13,Supplier E,Delhi,25,269,13,29.91,Pass,5.32,Sea,Route A,38.86
wellness,SKU004,18.34,96,228,4181.52,Mixed,57,29,62,9,Carrier B,9.75,Supplier C,Chennai,29,292,3,32.53,Pending,7.2,Road,Route C,45.58
haircare,SKU005,21.21,95,265,5620.65,Mixed,68,6,75,2,Carrier C,3.95,Supplier A,Mumbai,7,315,7,34.46,Fail,8.79,Rail,Route B,42.23
skincare,SKU006,22.32,94,302,6740.64,Mixed,79,13,88,7,Carrier A,14.02,Supplier D,Bangalore,15,338,11,33.06,Pass,1.02,Air,Route A,51.1
cosmetics,SKU007,24.72,93,339,8380.08,Mixed,90,20,101,12,Carrier B,11.48,Supplier B,Kolkata,23,361,1,35.19,Pending,2.27,Sea,Route C,51.12
fragrance,SKU008,27.62,92,376,10385.12,Mixed,5,27,114,5,Carrier C,6.06,Supplier E,Delhi,27,384,5,33.68,Fail,3.81,Road,Route B,44.71
wellness,SKU009,30.17,91,413,12460.21,Mixed,16,4,127,10,Carrier A,9.93,Supplier C,Chennai,5,407,9,35.5,Pass,5.89,Rail,Route A,50.86
haircare,SKU010,32.18,90,450,14481.0,Mixed,27,11,140,3,Carrier B,11.4,Supplier A,Mumbai,13,430,13,38.23,Pending,7.7,Air,Route C,55.42
skincare,SKU011,34.22,89,487,16665.14,Mixed,38,18,153,8,Carrier C,8.67,Supplier D,Bangalore,21,453,3,37.96,Fail,9.58,Sea,Route B,52.79
cosmetics,SKU012,37.29,88,524,19539.96,Mixed,49,25,166,1,Carrier A,3.49,Supplier B,Kolkata,25,476,7,40.58,Pass,0.52,Road,Route A,50.78
fragrance,SKU013,39.18,87,561,21979.98,Mixed,60,2,179,6,Carrier B,7.46,Supplier E,Delhi,3,499,11,38.07,Pending,2.59,Rail,Route C,52.58
wellness,SKU014,40.96,86,598,24494.08,Mixed,71,9,12,11,Carrier C,17.37,Supplier C,Chennai,11,522,1,41.33,Fail,4.37,Air,Route B,66.07
haircare,SKU015,44.56,85,635,28295.6,Mixed,82,16,25,4,Carrier A,5.61,Supplier A,Mumbai,19,545,5,41.86,Pass,6.09,Sea,Route A,55.49
skincare,SKU016,46.47,84,672,31227.84,Mixed,93,23,38,9,Carrier B,9.26,Supplier D,Bangalore,23,568,9,43.24,Pending,8.14,Road,Route C,60.86
cosmetics,SKU017,8.71,83,709,6175.39,Mixed,8,30,51,2,Carrier C,4.56,Supplier B,Kolkata,31,591,13,40.93,Fail,9.6,Rail,Route B,47.06
fragrance,SKU018,11.32,82,746,8444.72,Mixed,19,7,64,7,Carrier A,14.89,Supplier E,Delhi,9,614,3,44.78,Pass,0.88,Air,Route A,61.71
wellness,SKU019,13.28,81,783,10398.24,Mixed,30,14,77,12,Carrier B,11.57,Supplier C,Chennai,17,637,7,42.39,Pending,2.76,Sea,Route C,56.35
haircare,SKU020,15.3,80,820,12546.0,Mixed,41,21,90,5,Carrier C,6.12,Supplier A,Mumbai,21,660,11,43.34,Fail,4.77,Road,Route B,52.21
skincare,SKU021,17.59,79,857,15074.63,Mixed,52,28,103,10,Carrier A,9.75,Supplier D,Bangalore,29,683,1,45.47,Pass,6.57,Rail,Route A,58.39
cosmetics,SKU022,19.87,78,894,17763.78,Mixed,63,5,116,3,Carrier B,11.55,Supplier B,Kolkata,7,706,5,46.91,Pending,8.28,Air,Route C,62.04
fragrance,SKU023,23.33,77,931,21720.23,Mixed,74,12,129,8,Carrier C,8.96,Supplier E,Delhi,15,729,9,46.63,Fail,9.52,Sea,Route B,59.79
wellness,SKU024,24.99,76,968,24190.32,Mixed,85,19,142,1,Carrier A,4.08,Supplier C,Chennai,19,752,13,50.15,Pass,0.95,Road,Route A,58.73
haircare,SKU025,27.06,75,85,2300.1,Mixed,0,26,155,6,Carrier B,6.93,Supplier A,Mumbai,27,775,3,48.06,Pending,2.98,Rail,Route C,59.86
skincare,SKU026,30.03,74,122,3663.66,Mixed,11,3,168,11,Carrier C,16.96,Supplier D,Bangalore,5,798,7,47.95,Fail,4.62,Air,Route B,70.32
cosmetics,SKU027,32.05,73,159,5095.95,Mixed,22,10,181,4,Carrier A,5.87,Supplier B,Kolkata,13,821,11,52.55,Pass,6.59,Sea,Route A,64.19
fragrance,SKU028,34.62,72,196,6785.52,Mixed,33,17,14,9,Carrier B,9.42,Supplier E,Delhi,17,844,1,52.24,Pending,7.65,Road,Route C,67.89
wellness,SKU029,37.55,71,233,8749.15,Mixed,44,24,27,2,Carrier C,4.68,Supplier C,Chennai,25,867,5,53.84,Fail,10.1,Rail,Route B,65.28
haircare,SKU030,39.14,70,270,10567.8,Mixed,55,1,40,7,Carrier A,14.3,Supplier A,Mumbai,3,890,9,51.56,Pass,1.63,Air,Route A,72.91
skincare,SKU031,40.99,69,307,12583.93,Mixed,66,8,53,12,Carrier B,10.97,Supplier D,Bangalore,11,913,13,52.79,Pending,2.86,Sea,Route C,71.14
cosmetics,SKU032,43.76,68,344,15053.44,Mixed,77,15,66,5,Carrier C,6.05,Supplier B,Kolkata,15,936,3,52.76,Fail,4.55,Road,Route B,66.69
fragrance,SKU033,45.75,67,381,17430.75,Mixed,88,22,79,10,Carrier A,9.86,Supplier E,Delhi,23,959,7,53.67,Pass,6.97,Rail,Route A,71.77
wellness,SKU034,8.92,66,418,3728.56,Mixed,3,29,92,3,Carrier B,11.25,Supplier C,Chennai,31,982,11,55.38,Pending,8.15,Air,Route C,68.24
haircare,SKU035,10.9,65,455,4959.5,Mixed,14,6,105,8,Carrier C,8.22,Supplier A,Mumbai,9,1005,1,58.57,Fail,10.49,Sea,Route B,68.75
skincare,SKU036,13.4,64,492,6592.8,Mixed,25,13,118,1,Carrier A,3.68,Supplier D,Bangalore,13,1028,5,56.32,Pass,1.3,Road,Route A,62.41
cosmetics,SKU037,15.56,100,529,8231.24,Mixed,36,20,131,6,Carrier B,6.96,Supplier B,Kolkata,21,1051,9,60.1,Pending,3.06,Rail,Route C,69.86
fragrance,SKU038,17.43,99,566,9865.38,Mixed,47,27,144,11,Carrier C,17.65,Supplier E,Delhi,29,1074,13,59.7,Fail,4.75,Air,Route B,80.49
wellness,SKU039,20.56,98,603,12397.68,Mixed,58,4,157,4,Carrier A,5.33,Supplier C,Chennai,7,1097,3,60.51,Pass,7.28,Sea,Route A,69.54
haircare,SKU040,23.39,97,640,14969.6,Mixed,69,11,170,9,Carrier B,9.5,Supplier A,Mumbai,11,1120,7,60.24,Pending,8.37,Road,Route C,73.95
skincare,SKU041,24.7,96,677,16721.9,Mixed,80,18,183,2,Carrier C,4.67,Supplier D,Bangalore,19,1143,11,62.14,Fail,10.48,Rail,Route B,71.26
cosmetics,SKU042,27.29,95,714,19485.06,Mixed,91,25,16,7,Carrier A,14.12,Supplier B,Kolkata,27,1166,1,64.06,Pass,2.38,Air,Route A,83.09
fragrance,SKU043,30.43,94,751,22852.93,Mixed,6,2,29,12,Carrier B,11.71,Supplier E,Delhi,5,1189,5,64.89,Pending,3.84,Sea,Route C,82.08
wellness,SKU044,31.84,93,788,25089.92,Mixed,17,9,42,5,Carrier C,6.52,Supplier C,Chennai,9,1212,9,63.84,Fail,4.83,Road,Route B,76.09
haircare,SKU045,33.89,92,825,27959.25,Mixed,28,16,55,10,Carrier A,9.78,Supplier A,Mumbai,17,1235,13,64.26,Pass,7.19,Rail,Route A,80.14
skincare,SKU046,37.63,91,862,32437.06,Mixed,39,23,68,3,Carrier B,11.55,Supplier D,Bangalore,25,1258,3,67.78,Pending,9.19,Air,Route C,86.1
cosmetics,SKU047,39.98,90,899,35942.02,Mixed,50,30,81,8,Carrier C,8.46,Supplier B,Kolkata,33,1281,7,65.72,Fail,10.13,Sea,Route B,81.38
fragrance,SKU048,41.2,89,936,38563.2,Mixed,61,7,94,1,Carrier A,3.4,Supplier E,Delhi,7,1304,11,68.14,Pass,2.5,Road,Route A,78.96
wellness,SKU049,44.51,88,973,43308.23,Mixed,72,14,107,6,Carrier B,7.18,Supplier C,Chennai,15,1327,1,69.06,Pending,4.1,Rail,Route C,84.25
haircare,SKU050,45.73,87,90,4115.7,Mixed,83,21,120,11,Carrier C,17.36,Supplier A,Mumbai,23,1350,5,70.89,Fail,5.78,Air,Route B,96.48
skincare,SKU051,9.13,86,127,1159.51,Mixed,94,28,133,4,Carrier A,5.78,Supplier D,Bangalore,31,1373,9,68.77,Pass,7.49,Sea,Route A,76.19
cosmetics,SKU052,10.85,85,164,1779.4,Mixed,9,5,146,9,Carrier B,9.6,Supplier B,Kolkata,5,1396,13,72.75,Pending,8.8,Road,Route C,84.3
fragrance,SKU053,13.3,84,201,2673.3,Mixed,20,12,159,2,Carrier C,4.85,Supplier E,Delhi,13,1419,3,72.56,Fail,0.27,Rail,Route B,79.8
wellness,SKU054,15.24,83,238,3627.12,Mixed,31,19,172,7,Carrier A,14.05,Supplier C,Chennai,21,1442,7,74.09,Pass,2.61,Air,Route A,90.88
haircare,SKU055,17.62,82,275,4845.5,Mixed,42,26,185,12,Carrier B,11.73,Supplier A,Mumbai,29,1465,11,75.2,Pending,4.16,Sea,Route C,90.1
skincare,SKU056,20.28,81,312,6327.36,Mixed,53,3,18,5,Carrier C,6.55,Supplier D,Bangalore,3,1488,1,72.6,Fail,5.21,Road,Route B,82.8
cosmetics,SKU057,23.56,80,349,8222.44,Mixed,64,10,31,10,Carrier A,10.15,Supplier B,Kolkata,11,1511,5,74.99,Pass,7.83,Rail,Route A,89.38
fragrance,SKU058,25.1,79,386,9688.6,Mixed,75,17,44,3,Carrier B,11.97,Supplier E,Delhi,19,1534,9,76.99,Pending,8.81,Air,Route C,93.48
wellness,SKU059,27.18,78,423,11497.14,Mixed,86,24,57,8,Carrier C,8.39,Supplier C,Chennai,27,1557,13,75.46,Fail,0.89,Sea,Route B,88.74
haircare,SKU060,29.54,77,460,13588.4,Mixed,1,1,70,1,Carrier A,3.62,Supplier A,Mumbai,1,1580,3,75.82,Pass,2.91,Road,Route A,84.76
skincare,SKU061,32.03,76,497,15918.91,Mixed,12,8,83,6,Carrier B,7.16,Supplier D,Bangalore,9,1603,7,78.44,Pending,4.6,Rail,Route C,91.37
cosmetics,SKU062,34.48,75,534,18412.32,Mixed,23,15,96,11,Carrier C,17.62,Supplier B,Kolkata,17,1626,11,78.92,Fail,5.93,Air,Route B,102.75
fragrance,SKU063,36.99,74,571,21121.29,Mixed,34,22,109,4,Carrier A,5.32,Supplier E,Delhi,25,1649,1,79.48,Pass,7.28,Sea,Route A,91.46
wellness,SKU064,38.56,73,608,23444.48,Mixed,45,29,122,9,Carrier B,9.6,Supplier C,Chennai,29,1672,5,79.21,Pending,9.27,Road,Route C,95.75
haircare,SKU065,41.99,72,645,27083.55,Mixed,56,6,135,2,Carrier C,4.46,Supplier A,Mumbai,7,1695,9,80.63,Fail,1.02,Rail,Route B,92.65
skincare,SKU066,44.08,71,682,30062.56,Mixed,67,13,148,7,Carrier A,14.68,Supplier D,Bangalore,15,1718,13,80.55,Pass,2.76,Air,Route A,103.16
cosmetics,SKU067,45.97,70,719,33052.43,Mixed,78,20,161,12,Carrier B,11.18,Supplier B,Kolkata,23,1741,3,84.02,Pending,4.41,Sea,Route C,103.47
fragrance,SKU068,8.84,69,756,6683.04,Mixed,89,27,174,5,Carrier C,6.76,Supplier E,Delhi,27,1764,7,85.39,Fail,6.04,Road,Route B,93.74
wellness,SKU069,11.27,68,793,8937.11,Mixed,4,4,187,10,Carrier A,10.01,Supplier C,Chennai,5,1787,11,84.59,Pass,7.99,Rail,Route A,96.63
haircare,SKU070,13.38,67,830,11105.4,Mixed,15,11,20,3,Carrier B,11.63,Supplier A,Mumbai,13,1810,1,85.26,Pending,9.94,Air,Route C,99.3
skincare,SKU071,16.1,66,867,13958.7,Mixed,26,18,33,8,Carrier C,8.98,Supplier D,Bangalore,21,1833,5,87.92,Fail,0.96,Sea,Route B,99.8
cosmetics,SKU072,18.24,65,904,16488.96,Mixed,37,25,46,1,Carrier A,4.14,Supplier B,Kolkata,25,1856,9,88.32,Pass,2.54,Road,Route A,95.74
fragrance,SKU073,19.93,64,941,18754.13,Mixed,48,2,59,6,Carrier B,7.14,Supplier E,Delhi,3,1879,13,86.06,Pending,4.34,Rail,Route C,96.79
wellness,SKU074,22.21,100,978,21721.38,Mixed,59,9,72,11,Carrier C,17.37,Supplier C,Chennai,11,1902,3,89.71,Fail,6.7,Air,Route B,111.08
haircare,SKU075,24.68,99,95,2344.6,Mixed,70,16,85,4,Carrier A,6.02,Supplier A,Mumbai,19,1925,7,90.02,Pass,7.64,Sea,Route A,100.48
skincare,SKU076,28.12,98,132,3711.84,Mixed,81,23,98,9,Carrier B,9.77,Supplier D,Bangalore,23,1948,11,89.06,Pending,10.15,Road,Route C,103.89
cosmetics,SKU077,29.75,97,169,5027.75,Mixed,92,30,111,2,Carrier C,4.39,Supplier B,Kolkata,31,1971,1,92.94,Fail,1.73,Rail,Route B,102.69
fragrance,SKU078,31.74,96,206,6538.44,Mixed,7,7,124,7,Carrier A,14.33,Supplier E,Delhi,9,1994,5,91.85,Pass,2.94,Air,Route A,111.89
wellness,SKU079,34.14,95,243,8296.02,Mixed,18,14,137,12,Carrier B,11.22,Supplier C,Chennai,17,217,9,30.48,Pending,4.32,Sea,Route C,47.85
haircare,SKU080,37.03,94,280,10368.4,Mixed,29,21,150,5,Carrier C,6.44,Supplier A,Mumbai,21,240,13,28.47,Fail,6.33,Road,Route B,41.58
skincare,SKU081,39.49,93,317,12518.33,Mixed,40,28,163,10,Carrier A,10.01,Supplier D,Bangalore,29,263,3,29.46,Pass,8.69,Rail,Route A,46.58
cosmetics,SKU082,42.08,92,354,14896.32,Mixed,51,5,176,3,Carrier B,12.07,Supplier B,Kolkata,7,286,7,30.43,Pending,9.67,Air,Route C,50.07
fragrance,SKU083,43.31,91,391,16934.21,Mixed,62,12,189,8,Carrier C,8.88,Supplier E,Delhi,15,309,11,31.9,Fail,1.23,Sea,Route B,48.58
wellness,SKU084,46.23,90,428,19786.44,Mixed,73,19,22,1,Carrier A,4.11,Supplier C,Chennai,19,332,1,34.9,Pass,3.06,Road,Route A,47.33
haircare,SKU085,8.22,89,465,3822.3,Mixed,84,26,35,6,Carrier B,7.62,Supplier A,Mumbai,27,355,5,34.71,Pending,5.2,Rail,Route C,43.81
skincare,SKU086,10.48,88,502,5260.96,Mixed,95,3,48,11,Carrier C,16.76,Supplier D,Bangalore,5,378,9,35.98,Fail,6.63,Air,Route B,54.63
cosmetics,SKU087,12.81,87,539,6904.59,Mixed,10,10,61,4,Carrier A,6.24,Supplier B,Kolkata,13,401,13,36.57,Pass,8.7,Sea,Route A,45.12
fragrance,SKU088,15.18,86,576,8743.68,Mixed,21,17,74,9,Carrier B,9.66,Supplier E,Delhi,17,424,3,35.11,Pending,10.46,Road,Route C,47.5
wellness,SKU089,18.08,85,613,11083.04,Mixed,32,24,87,2,Carrier C,4.24,Supplier C,Chennai,25,447,7,37.86,Fail,2.23,Rail,Route B,45.35
haircare,SKU090,20.15,84,650,13097.5,Mixed,43,1,100,7,Carrier A,14.03,Supplier A,Mumbai,3,470,11,38.56,Pass,3.24,Air,Route A,56.22
skincare,SKU091,22.26,83,687,15292.62,Mixed,54,8,113,12,Carrier B,11.06,Supplier D,Bangalore,11,493,1,37.46,Pending,4.9,Sea,Route C,52.53
cosmetics,SKU092,24.92,82,724,18042.08,Mixed,65,15,126,5,Carrier C,6.31,Supplier B,Kolkata,15,516,5,41.1,Fail,6.69,Road,Route B,51.9
fragrance,SKU093,27.55,81,761,20965.55,Mixed,76,22,139,10,Carrier A,9.68,Supplier E,Delhi,23,539,9,40.25,Pass,8.12,Rail,Route A,54.89
wellness,SKU094,29.53,80,798,23564.94,Mixed,87,29,152,3,Carrier B,11.12,Supplier C,Chennai,31,562,13,42.6,Pending,10.35,Air,Route C,59.04
haircare,SKU095,31.78,79,835,26536.3,Mixed,2,6,165,8,Carrier C,8.57,Supplier A,Mumbai,9,585,3,44.21,Fail,1.61,Sea,Route B,58.5
skincare,SKU096,35.08,78,872,30589.76,Mixed,13,13,178,1,Carrier A,3.63,Supplier D,Bangalore,13,608,7,43.26,Pass,4.03,Road,Route A,53.2
cosmetics,SKU097,36.79,77,909,33442.11,Mixed,24,20,11,6,Carrier B,7.21,Supplier B,Kolkata,21,631,11,44.84,Pending,5.88,Rail,Route C,58.67
fragrance,SKU098,39.06,76,946,36950.76,Mixed,35,27,24,11,Carrier C,17.53,Supplier E,Delhi,29,654,1,45.72,Fail,7.24,Air,Route B,70.28
wellness,SKU099,41.51,75,983,40804.33,Mixed,46,4,37,4,Carrier A,5.65,Supplier C,Chennai,7,677,5,43.91,Pass,8.43,Sea,Route A,57.03
